# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model
# start_datetime = 2022-12-26 19:45:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/andrew/Library/R/arm64/4.2/library/CmdStanHeaders/examples/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1461824762 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = --O0
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12279
# Diagonal elements of inverse mass matrix:
# 0.459917
-6.78174,0.997212,1.12279,2,3,0,6.78229,0.218515
-6.84395,0.927589,1.12279,2,3,0,7.18005,0.307217
-8.62354,0.486828,1.12279,1,1,0,8.62519,0.524281
-6.81378,1,1.12279,1,3,0,8.25281,0.206595
-6.74948,0.986218,1.12279,2,3,0,6.9049,0.243285
-6.89024,0.965198,1.12279,1,3,0,6.90143,0.187589
-6.87754,1,1.12279,1,1,0,6.92128,0.190245
-6.74804,0.979994,1.12279,2,3,0,6.97724,0.250763
-6.75408,0.998385,1.12279,1,3,0,6.75444,0.26392
-6.98829,0.937655,1.12279,1,3,0,6.9906,0.342509
-6.98829,0.208647,1.12279,1,1,0,9.16373,0.342509
-7.39064,0.947253,1.12279,2,3,0,7.3924,0.128707
-7.13577,1,1.12279,1,1,0,7.38189,0.15197
-6.75041,0.980782,1.12279,1,3,0,7.09949,0.258698
-7.53715,0.849911,1.12279,2,3,0,7.69434,0.118272
-6.74847,0.956382,1.12279,1,3,0,7.47392,0.253773
-7.76382,0.755262,1.12279,1,3,0,7.79222,0.448735
-7.98584,0.90856,1.12279,1,1,0,8.38383,0.470647
-7.98584,0.0716867,1.12279,1,1,0,12.0632,0.470647
-6.99585,1,1.12279,1,1,0,7.62619,0.344031
-6.86238,0.973587,1.12279,1,3,0,7.15766,0.193619
-7.35507,0.920558,1.12279,1,3,0,7.35713,0.131505
-7.30227,1,1.12279,2,3,0,7.46531,0.135886
-6.79636,1,1.12279,1,3,0,7.18408,0.212539
-7.86285,0.755177,1.12279,1,3,0,8.01363,0.458773
-7.27321,1,1.12279,1,1,0,7.7833,0.38996
-6.80085,0.874589,1.12279,2,3,0,7.80373,0.210908
-6.77638,1,1.12279,1,1,0,6.79863,0.221045
-6.80109,0.992736,1.12279,1,1,0,6.80606,0.210822
-6.76466,1,1.12279,1,1,0,6.79142,0.227675
-6.75021,0.998848,1.12279,1,3,0,6.76659,0.258321
-6.84902,0.971857,1.12279,1,3,0,6.87296,0.19681
-7.31986,0.921649,1.12279,1,3,0,7.32239,0.134394
-6.85351,1,1.12279,1,3,0,7.20475,0.195712
-7.27486,0.893872,1.12279,1,3,0,7.47282,0.390194
-6.9704,1,1.12279,2,3,0,7.19804,0.173395
-6.76237,0.984316,1.12279,1,3,0,6.978,0.271564
-6.74851,0.972046,1.12279,2,3,0,6.87957,0.253937
-7.14928,0.896432,1.12279,1,3,0,7.23045,0.150506
-6.9918,1,1.12279,1,1,0,7.14673,0.170152
-6.88424,0.966514,1.12279,2,3,0,7.32784,0.188826
-6.75996,1,1.12279,1,3,0,6.84889,0.231021
-7.35851,0.772855,1.12279,2,3,0,8.11557,0.131229
-6.75794,0.990169,1.12279,2,3,0,7.39847,0.232672
-7.27735,0.885047,1.12279,1,3,0,7.33074,0.138058
-6.74813,0.979449,1.12279,1,3,0,7.20696,0.248134
-8.52205,0.631587,1.12279,1,3,0,9.0918,0.0733854
-9.22615,0.976118,1.12279,2,3,0,9.34092,0.0546515
-7.46029,1,1.12279,1,3,0,8.9885,0.123544
-7.46029,0.803973,1.12279,1,3,0,10.1816,0.123544
-7.0347,1,1.12279,1,1,0,7.37726,0.164147
